53,25,0,2
53,25,0,12
52,25,0,22
54,25,0,32
53,25,0,42
53,40,0,52
42,90,0,62
34,-25,9,0
33,-25,19,0
34,-25,29,0
34,-25,39,0
33,-25,49,0
34,-75,59,0
33,-90,69,0
53,25,0,8
53,25,0,18
54,25,0,28
53,25,0,38
47,25,0,48
40,70,0,58
33,-25,10,0
33,-25,20,0
34,-25,30,0
34,-25,40,0
38,-30,50,0
40,25,0,2
52,25,0,12
52,25,0,22
49,25,0,32
40,25,0,0
34,-25,10,0
34,-25,20,0
37,-25,30,0
44,25,0,8
42,25,0,18
37,-25,6,0
37,-25,16,0
42,25,0,7
40,25,0,17
35,-25,10,0
36,-25,20,0
38,-25,30,0
44,25,0,7
43,25,0,17
37,-25,5,0
34,-25,15,0
34,-25,25,0
36,-25,35,0
44,25,0,7
42,25,0,17
35,-25,8,0
37,-25,18,0
43,25,0,7
42,25,0,17
36,-25,6,0
37,-25,16,0
43,25,0,7
40,25,0,17
36,-25,9,0
35,-25,19,0
41,25,0,4
51,25,0,14
49,25,0,24
43,25,0,34
39,-25,2,0
35,-25,12,0
36,-25,22,0
40,25,0,2
46,25,0,12
43,25,0,22
37,-25,6,0
39,-25,16,1
43,25,0,11
39,-25,1,0
34,-25,11,0
36,-25,21,0
40,25,0,2
45,25,0,12
43,25,0,22
45,25,0,32
44,25,0,42
34,-25,4,0
34,-25,14,0
34,-25,24,0
33,-25,34,0
33,-25,44,0
32,-50,54,0
33,-90,64,0
32,-90,74,0
34,-90,84,0
32,-90,94,0
33,-90,104,0
33,-90,114,0
34,-90,124,0
32,-90,134,0
34,-90,144,0
52,25,0,5
54,25,0,15
53,25,0,25
53,25,0,35
54,25,0,45
41,55,0,55
33,-25,9,0
34,-25,19,0
34,-25,29,0
34,-25,39,0
34,-25,49,0
34,-75,59,0
35,-90,69,0
55,25,0,4
54,25,0,14
55,25,0,24
55,25,0,34
56,25,0,44
54,45,0,54
56,90,0,64
34,-25,3,0
33,-25,13,0
35,-25,23,0
32,-25,33,0
30,-25,43,0
29,-45,53,0
29,-90,64,0
28,-90,74,0
55,25,0,2
59,25,0,12
58,25,0,22
32,-25,2,0
28,-25,12,0
28,-25,22,0
29,-25,32,0
22,-25,42,0
21,-40,52,0
34,-90,62,0
34,-90,72,0
31,-90,82,0
31,-90,92,0
34,-90,102,0
34,-90,112,0
34,-90,122,0
33,-90,132,0
33,-90,143,0
33,-90,153,0
43,25,0,2
50,25,0,12
53,25,0,22
45,25,0,32
35,-25,7,0
33,-25,17,0
33,-25,27,0
32,-25,37,0
32,-25,47,0
32,-65,57,0
32,-90,67,0
47,25,0,5
49,25,0,15
51,25,0,25
53,25,0,35
54,25,0,45
54,50,0,55
40,90,0,0
33,-25,10,0
34,-25,21,0
33,-25,31,0
33,-25,41,0
32,-35,51,0
43,25,0,2
53,25,0,12
53,25,0,23
55,25,0,33
54,25,0,43
54,40,0,53
54,90,0,63
55,90,0,73
53,90,0,83
53,90,0,93
33,-25,6,0
33,-25,16,0
33,-25,26,0
32,-25,36,0
32,-25,46,0
32,-60,56,0
35,-90,66,0
50,25,0,9
48,25,0,19
52,25,0,29
52,25,0,39
51,25,0,49
52,75,0,59
44,90,0,70
33,-25,8,0
33,-25,18,0
33,-25,28,0
39,-25,38,0
44,25,0,10
42,25,0,20
39,-25,4,0
34,-25,14,0
40,25,0,2
46,25,0,12
44,25,0,22
41,25,0,32
35,-25,6,0
34,-25,16,0
33,-25,27,0
33,-25,37,0
33,-25,47,0
33,-65,57,0
34,-90,67,0
32,-90,77,0
44,25,0,3
51,25,0,13
51,25,0,23
51,25,0,33
48,25,0,43
39,-25,1,0
33,-25,11,0
33,-25,21,0
34,-25,31,0
33,-25,41,0
34,-35,51,0
42,25,0,4
51,25,0,14
50,25,0,24
39,-25,1,0
34,-25,11,0
35,-25,21,0
37,-25,31,0
44,25,0,4
48,25,0,14
42,25,0,25
35,-25,8,0
33,-25,18,0
33,-25,28,0
36,-25,38,0
42,25,0,5
47,25,0,15
43,25,0,25
37,-25,5,0
34,-25,15,0
35,-25,25,0
39,-25,35,0
44,25,0,9
49,25,0,19
47,25,0,29
39,-25,1,0
36,-25,11,0
39,-25,21,0
